HomeTeam,AwayTeam,3DConv,RZPct,PressurePct,YpD,TOPct,PpD,Vegas,Outcome
Detroit Lions,Chicago Bears,-1.6380,-0.0792,-0.0100,-0.6300,1.7730,-0.0299,-2.5,-2
Dallas Cowboys,Las Vegas Raiders,4.9790,0.1147,-0.0100,3.5400,3.3600,0.4027,7,-3
New Orleans Saints,Buffalo Bills,-11.5540,0.0739,-0.0580,-6.8800,-4.0380,-0.5176,-7,-25
Indianapolis Colts,Tampa Bay Buccaneers,1.9590,-0.1245,-0.0830,-2.5980,4.4650,-0.0706,-3,-7
Houston Texans,New York Jets,0.9610,-0.0354,-0.0370,-3.6590,7.4720,-0.0555,2.5,-7
New York Giants,Philadelphia Eagles,-6.5790,-0.1068,-0.0190,-3.8680,1.4320,-0.4587,-4,6
Miami Dolphins,Carolina Panthers,-6.4490,0.0587,-0.0340,-2.1630,1.2740,-0.2421,-1.5,23
New England Patriots,Tennessee Titans,8.9820,-0.0151,0.0270,1.8970,5.3590,0.3749,7,23
Cincinnati Bengals,Pittsburgh Steelers,3.3640,0.0546,-0.0030,1.1350,0.8200,0.3477,3.5,31
Jacksonville Jaguars,Atlanta Falcons,-3.9910,0.0455,0.0820,1.4080,-2.4810,-0.0614,-1.5,-7
Denver Broncos,Los Angeles Chargers,1.3900,-0.0431,0.0120,-2.1910,-0.9670,-0.1383,-3,15
Green Bay Packers,Los Angeles Rams,-3.2610,-0.0969,-0.0040,-0.5720,1.5590,-0.2140,-2,8
San Francisco 49ers,Minnesota Vikings,0.4580,0.0878,-0.0470,1.4230,-4.4860,0.0705,-4,8
Baltimore Ravens,Cleveland Browns,3.5230,0.1518,0.0110,-1.9010,-1.0000,0.1053,-3,6
Washington Football Team,Seattle Seahawks,4.2720,-0.1657,0.0270,4.8210,-0.7910,0.0203,-1.5,2
